seqnames	start	end	width	strand	gene_id	gene_name	gene_biotype	seq_coord_system	description	gene_id_version	symbol	entrezid	logFC	logCPM	F	PValue	FDR	mlog10PValue
9	44900000	44900000	8190	-	ENSMUSG00000038717	Atp5l	protein_coding	chromosome	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G [Source:MGI Symbol;Acc:MGI:1351597]	ENSMUSG00000038717.8	Atp5l	27425	-0.479	6.37	10.6	0.00217	0.0167	2.66
11	1.09e+08	1.09e+08	38500	+	ENSMUSG00000020611	Gna13	protein_coding	chromosome	guanine nucleotide binding protein, alpha 13 [Source:MGI Symbol;Acc:MGI:95768]	ENSMUSG00000020611.14	Gna13	14674	-0.578	5.58	10.6	0.00218	0.0167	2.66
19	41200000	41300000	53200	-	ENSMUSG00000025016	Tm9sf3	protein_coding	chromosome	transmembrane 9 superfamily member 3 [Source:MGI Symbol;Acc:MGI:1914262]	ENSMUSG00000025016.10	Tm9sf3	107358	-0.281	7.77	10.6	0.00218	0.0168	2.66
X	96100000	96200000	72500	+	ENSMUSG00000031207	Msn	protein_coding	chromosome	moesin [Source:MGI Symbol;Acc:MGI:97167]	ENSMUSG00000031207.16	Msn	17698	-1.07	8.45	10.6	0.00218	0.0167	2.66
7	1.44e+08	1.44e+08	20100	-	ENSMUSG00000037613	Tnfrsf23	protein_coding	chromosome	tumor necrosis factor receptor superfamily, member 23 [Source:MGI Symbol;Acc:MGI:1930269]	ENSMUSG00000037613.16	Tnfrsf23	79201	-0.835	1.58	10.6	0.00218	0.0167	2.66
11	73200000	73200000	6080	+	ENSMUSG00000040158	Tax1bp3	protein_coding	chromosome	Tax1 (human T cell leukemia virus type I) binding protein 3 [Source:MGI Symbol;Acc:MGI:1923531]	ENSMUSG00000040158.12	Tax1bp3	76281	-0.648	4.35	10.6	0.00218	0.0168	2.66
7	16900000	16900000	8740	-	ENSMUSG00000019370	Calm3	protein_coding	chromosome	calmodulin 3 [Source:MGI Symbol;Acc:MGI:103249]	ENSMUSG00000019370.10	Calm3	12315	0.64	10.9	10.6	0.00219	0.0168	2.66
2	30700000	30700000	6910	-	ENSMUSG00000075416	Gm14488	processed_transcript	chromosome	predicted gene 14488 [Source:MGI Symbol;Acc:MGI:3649725]	ENSMUSG00000075416.5	Gm14488	NA	-2.18	-1.8	10.6	0.00219	0.0168	2.66
13	64600000	64600000	5450	+	ENSMUSG00000113124	AC156576.1	lincRNA	chromosome	NULL	ENSMUSG00000113124.1	AC156576.1	NA	1.53	-0.325	10.6	0.00219	0.0168	2.66
1	1.95e+08	1.95e+08	55400	-	ENSMUSG00000016493	Cd46	protein_coding	chromosome	CD46 antigen, complement regulatory protein [Source:MGI Symbol;Acc:MGI:1203290]	ENSMUSG00000016493.13	Cd46	17221	0.724	2.55	10.6	0.0022	0.0168	2.66
3	5220000	5420000	197000	+	ENSMUSG00000025255	Zfhx4	protein_coding	chromosome	zinc finger homeodomain 4 [Source:MGI Symbol;Acc:MGI:2137668]	ENSMUSG00000025255.18	Zfhx4	80892	-0.992	2.28	10.6	0.0022	0.0168	2.66
X	48300000	48300000	25600	+	ENSMUSG00000063785	Utp14a	protein_coding	chromosome	UTP14A small subunit processome component [Source:MGI Symbol;Acc:MGI:1919804]	ENSMUSG00000063785.12	Utp14a	72554	-0.686	3.27	10.6	0.0022	0.0168	2.66
7	45100000	45100000	3200	-	ENSMUSG00000074129	Rpl13a	protein_coding	chromosome	ribosomal protein L13A [Source:MGI Symbol;Acc:MGI:1351455]	ENSMUSG00000074129.13	Rpl13a	22121	-0.637	9.33	10.6	0.0022	0.0168	2.66
12	17900000	18100000	165000	+	ENSMUSG00000113642	CT030170.6	transcribed_unprocessed_pseudogene	chromosome	NULL	ENSMUSG00000113642.1	CT030170.6	NA	1.19	3.21	10.6	0.0022	0.0169	2.66
13	1.1e+07	1.1e+07	5520	+	ENSMUSG00000113673	AC127281.1	lincRNA	chromosome	NULL	ENSMUSG00000113673.1	AC127281.1	NA	-0.606	2.76	10.6	0.0022	0.0168	2.66
6	49100000	49100000	13000	+	ENSMUSG00000029815	Malsu1	protein_coding	chromosome	mitochondrial assembly of ribosomal large subunit 1 [Source:MGI Symbol;Acc:MGI:1922843]	ENSMUSG00000029815.12	Malsu1	75593	-0.863	2.61	10.6	0.00221	0.0169	2.66
6	85500000	85500000	33400	-	ENSMUSG00000047013	Fbxo41	protein_coding	chromosome	F-box protein 41 [Source:MGI Symbol;Acc:MGI:1261912]	ENSMUSG00000047013.15	Fbxo41	330369	0.722	6.37	10.6	0.00221	0.0169	2.65
X	1.36e+08	1.36e+08	3360	-	ENSMUSG00000051579	Tceal8	protein_coding	chromosome	transcription elongation factor A (SII)-like 8 [Source:MGI Symbol;Acc:MGI:1913934]	ENSMUSG00000051579.10	Tceal8	66684	-0.465	4.97	10.5	0.00222	0.0169	2.65
3	1.28e+08	1.28e+08	30500	-	ENSMUSG00000074238	Ap1ar	protein_coding	chromosome	adaptor-related protein complex 1 associated regulatory protein [Source:MGI Symbol;Acc:MGI:2384822]	ENSMUSG00000074238.6	Ap1ar	211556	0.631	6.45	10.5	0.00222	0.017	2.65
7	25300000	25300000	2940	-	ENSMUSG00000005447	Pafah1b3	protein_coding	chromosome	platelet-activating factor acetylhydrolase, isoform 1b, subunit 3 [Source:MGI Symbol;Acc:MGI:108414]	ENSMUSG00000005447.12	Pafah1b3	18476	0.718	5.22	10.5	0.00223	0.017	2.65
4	1.08e+08	1.08e+08	71400	-	ENSMUSG00000034636	Zyg11b	protein_coding	chromosome	zyg-ll family member B, cell cycle regulator [Source:MGI Symbol;Acc:MGI:2685277]	ENSMUSG00000034636.9	Zyg11b	414872	0.91	7.65	10.5	0.00223	0.017	2.65
8	1.16e+08	1.16e+08	24900	-	ENSMUSG00000055435	Maf	protein_coding	chromosome	avian musculoaponeurotic fibrosarcoma oncogene homolog [Source:MGI Symbol;Acc:MGI:96909]	ENSMUSG00000055435.6	Maf	17132	0.926	4.14	10.5	0.00223	0.017	2.65
12	78700000	78700000	43000	+	ENSMUSG00000056987	Fam71d	protein_coding	chromosome	family with sequence similarity 71, member D [Source:MGI Symbol;Acc:MGI:1918147]	ENSMUSG00000056987.8	Fam71d	70897	3.08	-2.27	10.5	0.00223	0.017	2.65
5	1.12e+08	1.13e+08	158000	-	ENSMUSG00000058153	Sez6l	protein_coding	chromosome	seizure related 6 homolog like [Source:MGI Symbol;Acc:MGI:1935121]	ENSMUSG00000058153.15	Sez6l	56747	1.12	7.69	10.5	0.00223	0.017	2.65
10	1.27e+08	1.27e+08	7400	+	ENSMUSG00000097331	F420014N23Rik	lincRNA	chromosome	RIKEN cDNA F420014N23 gene [Source:MGI Symbol;Acc:MGI:3642477]	ENSMUSG00000097331.2	F420014N23Rik	NA	-1.46	-0.432	10.5	0.00223	0.017	2.65
10	12400000	12900000	487000	-	ENSMUSG00000019820	Utrn	protein_coding	chromosome	utrophin [Source:MGI Symbol;Acc:MGI:104631]	ENSMUSG00000019820.11	Utrn	22288	-0.751	4.61	10.5	0.00224	0.017	2.65
13	1.19e+08	1.19e+08	29600	+	ENSMUSG00000025451	Paip1	protein_coding	chromosome	polyadenylate binding protein-interacting protein 1 [Source:MGI Symbol;Acc:MGI:2384993]	ENSMUSG00000025451.15	Paip1	218693	-0.334	5.82	10.5	0.00224	0.017	2.65
5	35800000	35900000	127000	+	ENSMUSG00000029095	Ablim2	protein_coding	chromosome	actin-binding LIM protein 2 [Source:MGI Symbol;Acc:MGI:2385758]	ENSMUSG00000029095.17	Ablim2	231148	0.758	4.56	10.5	0.00224	0.017	2.65
2	1.44e+08	1.45e+08	56900	-	ENSMUSG00000037259	Dzank1	protein_coding	chromosome	double zinc ribbon and ankyrin repeat domains 1 [Source:MGI Symbol;Acc:MGI:2139080]	ENSMUSG00000037259.15	Dzank1	241688	0.972	7.23	10.5	0.00224	0.017	2.65
15	9.9e+07	9.9e+07	8220	+	ENSMUSG00000043091	Tuba1c	protein_coding	chromosome	tubulin, alpha 1C [Source:MGI Symbol;Acc:MGI:1095409]	ENSMUSG00000043091.8	Tuba1c	22146	-1.69	3.86	10.5	0.00224	0.017	2.65
1	1.16e+08	1.17e+08	903000	+	ENSMUSG00000070695	Cntnap5a	protein_coding	chromosome	contactin associated protein-like 5A [Source:MGI Symbol;Acc:MGI:3643623]	ENSMUSG00000070695.4	Cntnap5a	636808	1.09	4.05	10.5	0.00224	0.017	2.65
2	31200000	31200000	66500	+	ENSMUSG00000000194	Gpr107	protein_coding	chromosome	G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]	ENSMUSG00000000194.13	Gpr107	277463	-0.492	6.49	10.5	0.00225	0.0171	2.65
1	1.44e+08	1.44e+08	104000	-	ENSMUSG00000026361	Cdc73	protein_coding	chromosome	cell division cycle 73, Paf1/RNA polymerase II complex component [Source:MGI Symbol;Acc:MGI:2384876]	ENSMUSG00000026361.9	Cdc73	214498	-0.664	4.11	10.5	0.00225	0.0171	2.65
10	91100000	91100000	7490	-	ENSMUSG00000061904	Slc25a3	protein_coding	chromosome	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3 [Source:MGI Symbol;Acc:MGI:1353498]	ENSMUSG00000061904.12	Slc25a3	18674	-0.334	8.62	10.5	0.00225	0.0171	2.65
X	1.42e+08	1.42e+08	1870	-	ENSMUSG00000086907	Gm15298	lincRNA	chromosome	predicted gene 15298 [Source:MGI Symbol;Acc:MGI:3705276]	ENSMUSG00000086907.1	Gm15298	NA	-0.663	0.167	10.5	0.00225	0.0171	2.65
7	19200000	19200000	10100	-	ENSMUSG00000030406	Gipr	protein_coding	chromosome	gastric inhibitory polypeptide receptor [Source:MGI Symbol;Acc:MGI:1352753]	ENSMUSG00000030406.7	Gipr	381853	1.31	7.03	10.5	0.00226	0.0171	2.65
11	1.02e+08	1.02e+08	34400	+	ENSMUSG00000034931	Dhx8	protein_coding	chromosome	DEAH (Asp-Glu-Ala-His) box polypeptide 8 [Source:MGI Symbol;Acc:MGI:1306823]	ENSMUSG00000034931.15	Dhx8	217207	-0.896	4.2	10.5	0.00226	0.0171	2.65
18	31800000	31800000	7480	+	ENSMUSG00000024258	Polr2d	protein_coding	chromosome	polymerase (RNA) II (DNA directed) polypeptide D [Source:MGI Symbol;Acc:MGI:1916491]	ENSMUSG00000024258.3	Polr2d	69241	-0.647	4.29	10.5	0.00227	0.0172	2.64
5	1.44e+08	1.44e+08	202000	+	ENSMUSG00000047843	Bri3	protein_coding	chromosome	brain protein I3 [Source:MGI Symbol;Acc:MGI:1933174]	ENSMUSG00000047843.16	Bri3	55950	-0.444	4.79	10.5	0.00227	0.0172	2.64
3	37700000	37700000	10300	-	ENSMUSG00000058174	Gm5148	protein_coding	chromosome	predicted gene 5148 [Source:MGI Symbol;Acc:MGI:3646006]	ENSMUSG00000058174.7	Gm5148	381438	0.787	1.13	10.5	0.00227	0.0172	2.64
15	79200000	79300000	27500	+	ENSMUSG00000068206	Pick1	protein_coding	chromosome	protein interacting with C kinase 1 [Source:MGI Symbol;Acc:MGI:894645]	ENSMUSG00000068206.12	Pick1	18693	0.327	5.74	10.5	0.00227	0.0172	2.64
15	81500000	81500000	10100	+	ENSMUSG00000022400	Rbx1	protein_coding	chromosome	ring-box 1 [Source:MGI Symbol;Acc:MGI:1891829]	ENSMUSG00000022400.8	Rbx1	c(56438, 100043674)	-0.476	6.47	10.5	0.00228	0.0172	2.64
2	26100000	26100000	67700	-	ENSMUSG00000026932	Nacc2	protein_coding	chromosome	nucleus accumbens associated 2, BEN and BTB (POZ) domain containing [Source:MGI Symbol;Acc:MGI:1915241]	ENSMUSG00000026932.14	Nacc2	67991	-0.716	7.06	10.5	0.00228	0.0172	2.64
9	1.08e+08	1.08e+08	30600	-	ENSMUSG00000032580	Rbm5	protein_coding	chromosome	RNA binding motif protein 5 [Source:MGI Symbol;Acc:MGI:1933204]	ENSMUSG00000032580.12	Rbm5	83486	0.486	5.9	10.5	0.00228	0.0172	2.64
18	36900000	37200000	257000	+	ENSMUSG00000103442	Pcdha1	protein_coding	chromosome	protocadherin alpha 1 [Source:MGI Symbol;Acc:MGI:2150982]	ENSMUSG00000103442.5	Pcdha1	116731	1.56	3.39	10.5	0.00228	0.0172	2.64
19	29300000	29400000	18800	-	ENSMUSG00000016495	Plgrkt	protein_coding	chromosome	plasminogen receptor, C-terminal lysine transmembrane protein [Source:MGI Symbol;Acc:MGI:1915009]	ENSMUSG00000016495.12	Plgrkt	67759	-0.6	3.64	10.5	0.00229	0.0172	2.64
5	38100000	38200000	22700	-	ENSMUSG00000029126	Nsg1	protein_coding	chromosome	neuron specific gene family member 1 [Source:MGI Symbol;Acc:MGI:109149]	ENSMUSG00000029126.7	Nsg1	18196	0.798	9.18	10.5	0.00229	0.0173	2.64
14	26400000	26400000	6320	+	ENSMUSG00000090104	Slmapos2	lincRNA	chromosome	sarcolemma associated protein, opposite strand transcript 2 [Source:MGI Symbol;Acc:MGI:3801907]	ENSMUSG00000090104.1	Slmapos2	NA	-0.726	0.122	10.5	0.00229	0.0173	2.64
9	1.08e+08	1.08e+08	2860	+	ENSMUSG00000010054	Tusc2	protein_coding	chromosome	tumor suppressor candidate 2 [Source:MGI Symbol;Acc:MGI:1931086]	ENSMUSG00000010054.4	Tusc2	80385	0.378	5.88	10.5	0.0023	0.0173	2.64
9	83800000	83800000	27600	-	ENSMUSG00000032262	Elovl4	protein_coding	chromosome	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4 [Source:MGI Symbol;Acc:MGI:1933331]	ENSMUSG00000032262.13	Elovl4	83603	0.702	5.54	10.5	0.0023	0.0173	2.64
9	86600000	86600000	2910	+	ENSMUSG00000032417	Rwdd2a	protein_coding	chromosome	RWD domain containing 2A [Source:MGI Symbol;Acc:MGI:1916769]	ENSMUSG00000032417.10	Rwdd2a	69519	0.648	2.48	10.5	0.0023	0.0173	2.64
10	80300000	80300000	22300	+	ENSMUSG00000020135	Apc2	protein_coding	chromosome	adenomatosis polyposis coli 2 [Source:MGI Symbol;Acc:MGI:1346052]	ENSMUSG00000020135.13	Apc2	23805	0.743	7.47	10.5	0.00231	0.0174	2.64
11	1.02e+08	1.02e+08	22800	-	ENSMUSG00000020922	Lsm12	protein_coding	chromosome	LSM12 homolog [Source:MGI Symbol;Acc:MGI:1919592]	ENSMUSG00000020922.11	Lsm12	268490	-0.519	4.35	10.5	0.00231	0.0174	2.64
7	5080000	5100000	17900	+	ENSMUSG00000035203	Epn1	protein_coding	chromosome	epsin 1 [Source:MGI Symbol;Acc:MGI:1333763]	ENSMUSG00000035203.16	Epn1	13854	0.5	8.78	10.5	0.00231	0.0174	2.64
10	40600000	40700000	51800	+	ENSMUSG00000063428	Ddo	protein_coding	chromosome	D-aspartate oxidase [Source:MGI Symbol;Acc:MGI:1925528]	ENSMUSG00000063428.8	Ddo	70503	-1.06	3.56	10.5	0.00231	0.0174	2.64
3	52300000	52400000	84900	+	ENSMUSG00000044167	Foxo1	protein_coding	chromosome	forkhead box O1 [Source:MGI Symbol;Acc:MGI:1890077]	ENSMUSG00000044167.6	Foxo1	56458	-0.718	3.17	10.4	0.00233	0.0175	2.63
X	53600000	53600000	401	+	ENSMUSG00000051851	Cxx1c	protein_coding	chromosome	CAAX box 1C [Source:MGI Symbol;Acc:MGI:1920115]	ENSMUSG00000051851.5	Cxx1c	72865	0.636	5.29	10.4	0.00233	0.0175	2.63
14	46800000	46900000	22100	+	ENSMUSG00000055128	Cgrrf1	protein_coding	chromosome	cell growth regulator with ring finger domain 1 [Source:MGI Symbol;Acc:MGI:1916368]	ENSMUSG00000055128.14	Cgrrf1	68755	-0.859	2.13	10.4	0.00233	0.0175	2.63
17	78400000	78400000	40200	-	ENSMUSG00000056121	Fez2	protein_coding	chromosome	fasciculation and elongation protein zeta 2 (zygin II) [Source:MGI Symbol;Acc:MGI:2675856]	ENSMUSG00000056121.15	Fez2	225020	-0.281	5.6	10.4	0.00233	0.0175	2.63
7	1.1e+08	1.1e+08	67000	-	ENSMUSG00000007279	Scube2	protein_coding	chromosome	signal peptide, CUB domain, EGF-like 2 [Source:MGI Symbol;Acc:MGI:1928765]	ENSMUSG00000007279.14	Scube2	56788	1.12	-0.654	10.4	0.00234	0.0175	2.63
X	74300000	74300000	8240	+	ENSMUSG00000009995	Taz	protein_coding	chromosome	tafazzin [Source:MGI Symbol;Acc:MGI:109626]	ENSMUSG00000009995.17	Taz	66826	0.463	5.74	10.4	0.00234	0.0175	2.63
15	83400000	83500000	89000	-	ENSMUSG00000016664	Pacsin2	protein_coding	chromosome	protein kinase C and casein kinase substrate in neurons 2 [Source:MGI Symbol;Acc:MGI:1345153]	ENSMUSG00000016664.14	Pacsin2	23970	-0.681	6.31	10.4	0.00234	0.0175	2.63
11	1.17e+08	1.17e+08	25000	-	ENSMUSG00000020814	Mxra7	protein_coding	chromosome	matrix-remodelling associated 7 [Source:MGI Symbol;Acc:MGI:1914872]	ENSMUSG00000020814.13	Mxra7	67622	-0.713	5.32	10.4	0.00234	0.0175	2.63
3	1.26e+08	1.26e+08	73300	-	ENSMUSG00000032854	Ugt8a	protein_coding	chromosome	UDP galactosyltransferase 8A [Source:MGI Symbol;Acc:MGI:109522]	ENSMUSG00000032854.12	Ugt8a	22239	-1.16	2.09	10.4	0.00234	0.0175	2.63
17	91200000	91200000	1330	+	ENSMUSG00000043346	Gm6741	protein_coding	chromosome	predicted gene 6741 [Source:MGI Symbol;Acc:MGI:3643504]	ENSMUSG00000043346.8	Gm6741	NA	0.572	1.93	10.4	0.00234	0.0175	2.63
11	1.08e+08	1.08e+08	2120	+	ENSMUSG00000087184	Gm11650	processed_transcript	chromosome	predicted gene 11650 [Source:MGI Symbol;Acc:MGI:3650132]	ENSMUSG00000087184.1	Gm11650	NA	0.714	1.55	10.4	0.00234	0.0175	2.63
11	6290000	6360000	65000	+	ENSMUSG00000020456	Ogdh	protein_coding	chromosome	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide) [Source:MGI Symbol;Acc:MGI:1098267]	ENSMUSG00000020456.17	Ogdh	18293	-0.37	7.08	10.4	0.00235	0.0176	2.63
2	90400000	90600000	151000	-	ENSMUSG00000025314	Ptprj	protein_coding	chromosome	protein tyrosine phosphatase, receptor type, J [Source:MGI Symbol;Acc:MGI:104574]	ENSMUSG00000025314.16	Ptprj	19271	-0.467	5.19	10.4	0.00235	0.0175	2.63
3	1.39e+08	1.39e+08	33500	+	ENSMUSG00000028156	Eif4e	protein_coding	chromosome	eukaryotic translation initiation factor 4E [Source:MGI Symbol;Acc:MGI:95305]	ENSMUSG00000028156.12	Eif4e	13684	-0.412	6.22	10.4	0.00235	0.0176	2.63
10	95200000	95300000	149000	-	ENSMUSG00000045867	Cradd	protein_coding	chromosome	CASP2 and RIPK1 domain containing adaptor with death domain [Source:MGI Symbol;Acc:MGI:1336168]	ENSMUSG00000045867.10	Cradd	12905	0.491	1.55	10.4	0.00235	0.0175	2.63
16	5.6e+07	5.6e+07	22500	-	ENSMUSG00000071533	Pcnp	protein_coding	chromosome	PEST proteolytic signal containing nuclear protein [Source:MGI Symbol;Acc:MGI:1923552]	ENSMUSG00000071533.11	Pcnp	76302	-0.262	7.51	10.4	0.00235	0.0176	2.63
6	1.47e+08	1.47e+08	8190	+	ENSMUSG00000030291	Med21	protein_coding	chromosome	mediator complex subunit 21 [Source:MGI Symbol;Acc:MGI:1347064]	ENSMUSG00000030291.12	Med21	108098	-0.779	4.32	10.4	0.00236	0.0176	2.63
16	5090000	5130000	46200	-	ENSMUSG00000039457	Ppl	protein_coding	chromosome	periplakin [Source:MGI Symbol;Acc:MGI:1194898]	ENSMUSG00000039457.3	Ppl	19041	-1.82	-1.14	10.4	0.00236	0.0176	2.63
11	49500000	49500000	8430	+	ENSMUSG00000059729	Olfr1385	protein_coding	chromosome	olfactory receptor 1385 [Source:MGI Symbol;Acc:MGI:3031219]	ENSMUSG00000059729.2	Olfr1385	258027	-0.429	1.94	10.4	0.00236	0.0176	2.63
11	1.05e+08	1.05e+08	47900	-	ENSMUSG00000020687	Cdc27	protein_coding	chromosome	cell division cycle 27 [Source:MGI Symbol;Acc:MGI:102685]	ENSMUSG00000020687.13	Cdc27	217232	-0.398	4.98	10.4	0.00237	0.0177	2.63
19	18700000	18700000	34000	+	ENSMUSG00000024726	Carnmt1	protein_coding	chromosome	carnosine N-methyltransferase 1 [Source:MGI Symbol;Acc:MGI:1914633]	ENSMUSG00000024726.9	Carnmt1	67383	-0.706	2.71	10.4	0.00237	0.0177	2.63
1	23800000	23800000	87400	+	ENSMUSG00000026156	B3gat2	protein_coding	chromosome	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S) [Source:MGI Symbol;Acc:MGI:2389490]	ENSMUSG00000026156.8	B3gat2	280645	0.394	5.19	10.4	0.00237	0.0177	2.63
1	1.33e+08	1.33e+08	63000	+	ENSMUSG00000026447	Pik3c2b	protein_coding	chromosome	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta [Source:MGI Symbol;Acc:MGI:2685045]	ENSMUSG00000026447.16	Pik3c2b	240752	0.501	4.27	10.4	0.00237	0.0177	2.63
2	48800000	48900000	89200	+	ENSMUSG00000052155	Acvr2a	protein_coding	chromosome	activin receptor IIA [Source:MGI Symbol;Acc:MGI:102806]	ENSMUSG00000052155.5	Acvr2a	11480	0.6	5.57	10.4	0.00237	0.0177	2.62
1	36500000	36500000	37100	+	ENSMUSG00000037408	Cnnm4	protein_coding	chromosome	cyclin M4 [Source:MGI Symbol;Acc:MGI:2151060]	ENSMUSG00000037408.10	Cnnm4	94220	0.471	2.88	10.4	0.00238	0.0177	2.62
10	1.3e+08	1.3e+08	26000	-	ENSMUSG00000091511	Vmn2r87	protein_coding	chromosome	vomeronasal 2, receptor 87 [Source:MGI Symbol;Acc:MGI:3645796]	ENSMUSG00000091511.2	Vmn2r87	625131	1.57	-1.28	10.4	0.00238	0.0177	2.62
16	21800000	21800000	14700	+	ENSMUSG00000097290	1300002E11Rik	lincRNA	chromosome	RIKEN cDNA 1300002E11 gene [Source:MGI Symbol;Acc:MGI:1919001]	ENSMUSG00000097290.8	1300002E11Rik	NA	-0.692	2.01	10.4	0.00238	0.0177	2.62
12	17500000	17600000	6710	+	ENSMUSG00000011179	Odc1	protein_coding	chromosome	ornithine decarboxylase, structural 1 [Source:MGI Symbol;Acc:MGI:97402]	ENSMUSG00000011179.8	Odc1	18263	-0.858	7.65	10.4	0.00239	0.0177	2.62
14	70100000	70100000	38000	+	ENSMUSG00000022089	Bin3	protein_coding	chromosome	bridging integrator 3 [Source:MGI Symbol;Acc:MGI:1929883]	ENSMUSG00000022089.8	Bin3	57784	0.358	3.18	10.4	0.00239	0.0178	2.62
4	1.24e+08	1.24e+08	15800	-	ENSMUSG00000023075	Akirin1	protein_coding	chromosome	akirin 1 [Source:MGI Symbol;Acc:MGI:1915300]	ENSMUSG00000023075.9	Akirin1	68050	-0.346	5.5	10.4	0.00239	0.0178	2.62
5	1.15e+08	1.15e+08	7630	+	ENSMUSG00000029559	2210016L21Rik	protein_coding	chromosome	RIKEN cDNA 2210016L21 gene [Source:MGI Symbol;Acc:MGI:1919607]	ENSMUSG00000029559.15	2210016L21Rik	72357	0.684	6.62	10.4	0.00239	0.0177	2.62
11	1.2e+08	1.2e+08	57300	-	ENSMUSG00000039703	Nploc4	protein_coding	chromosome	NPL4 homolog, ubiquitin recognition factor [Source:MGI Symbol;Acc:MGI:2679787]	ENSMUSG00000039703.15	Nploc4	217365	-0.397	5.99	10.4	0.00239	0.0177	2.62
5	3690000	3800000	113000	-	ENSMUSG00000040351	Ankib1	protein_coding	chromosome	ankyrin repeat and IBR domain containing 1 [Source:MGI Symbol;Acc:MGI:1918047]	ENSMUSG00000040351.11	Ankib1	70797	-0.349	5.93	10.4	0.00239	0.0178	2.62
3	7500000	7550000	50400	+	ENSMUSG00000043542	Zc2hc1a	protein_coding	chromosome	zinc finger, C2HC-type containing 1A [Source:MGI Symbol;Acc:MGI:1914556]	ENSMUSG00000043542.12	Zc2hc1a	67306	0.562	5.63	10.4	0.00239	0.0177	2.62
10	53600000	53600000	12500	+	ENSMUSG00000019857	Asf1a	protein_coding	chromosome	anti-silencing function 1A histone chaperone [Source:MGI Symbol;Acc:MGI:1913653]	ENSMUSG00000019857.7	Asf1a	66403	-0.68	3.16	10.4	0.0024	0.0178	2.62
7	1.1e+08	1.1e+08	24000	-	ENSMUSG00000034825	Nrip3	protein_coding	chromosome	nuclear receptor interacting protein 3 [Source:MGI Symbol;Acc:MGI:1925843]	ENSMUSG00000034825.14	Nrip3	78593	0.649	7.06	10.4	0.0024	0.0178	2.62
3	1.55e+08	1.55e+08	8490	-	ENSMUSG00000053870	Fpgt	protein_coding	chromosome	fucose-1-phosphate guanylyltransferase [Source:MGI Symbol;Acc:MGI:1922790]	ENSMUSG00000053870.7	Fpgt	75540	0.652	3.73	10.4	0.0024	0.0178	2.62
4	34400000	34400000	381	+	ENSMUSG00000062554	Gm12751	processed_pseudogene	chromosome	predicted gene 12751 [Source:MGI Symbol;Acc:MGI:3651049]	ENSMUSG00000062554.7	Gm12751	NA	-0.939	3.75	10.4	0.0024	0.0178	2.62
11	84800000	84900000	38500	-	ENSMUSG00000020530	Ggnbp2	protein_coding	chromosome	gametogenetin binding protein 2 [Source:MGI Symbol;Acc:MGI:2387356]	ENSMUSG00000020530.14	Ggnbp2	217039	-0.48	5.27	10.4	0.00241	0.0178	2.62
15	5120000	5120000	2530	+	ENSMUSG00000041841	Rpl37	protein_coding	chromosome	ribosomal protein L37 [Source:MGI Symbol;Acc:MGI:1914531]	ENSMUSG00000041841.7	Rpl37	c(67281, 100502825)	-0.55	6.35	10.4	0.00241	0.0178	2.62
2	1.78e+08	1.78e+08	9900	+	ENSMUSG00000070476	Fam217b	protein_coding	chromosome	family with sequence similarity 217, member B [Source:MGI Symbol;Acc:MGI:1918782]	ENSMUSG00000070476.10	Fam217b	71532	0.744	4.66	10.4	0.00241	0.0178	2.62
14	3.1e+07	3.1e+07	1840	-	ENSMUSG00000021917	Spcs1	protein_coding	chromosome	signal peptidase complex subunit 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1916269]	ENSMUSG00000021917.15	Spcs1	69019	-0.372	6.69	10.3	0.00242	0.0179	2.62
16	13800000	13900000	70000	-	ENSMUSG00000022680	Pdxdc1	protein_coding	chromosome	pyridoxal-dependent decarboxylase domain containing 1 [Source:MGI Symbol;Acc:MGI:1920909]	ENSMUSG00000022680.13	Pdxdc1	94184	-0.356	6.72	10.4	0.00242	0.0179	2.62
10	1.29e+08	1.29e+08	9920	+	ENSMUSG00000025355	Mmp19	protein_coding	chromosome	matrix metallopeptidase 19 [Source:MGI Symbol;Acc:MGI:1927899]	ENSMUSG00000025355.7	Mmp19	58223	-1.57	1.6	10.3	0.00242	0.0179	2.62
7	1.43e+08	1.43e+08	15200	+	ENSMUSG00000037706	Cd81	protein_coding	chromosome	CD81 antigen [Source:MGI Symbol;Acc:MGI:1096398]	ENSMUSG00000037706.17	Cd81	12520	-0.426	9.19	10.4	0.00242	0.0179	2.62
18	14800000	14900000	117000	+	ENSMUSG00000054321	Taf4b	protein_coding	chromosome	TATA-box binding protein associated factor 4b [Source:MGI Symbol;Acc:MGI:2152345]	ENSMUSG00000054321.6	Taf4b	72504	-0.752	0.661	10.3	0.00242	0.0179	2.62
JH584304.1	52200	59700	7500	-	ENSMUSG00000095041	AC149090.1	protein_coding	scaffold	NULL	ENSMUSG00000095041.7	AC149090.1	NA	0.736	8.68	10.3	0.00242	0.0179	2.62
